id,mural_title,school_name,borough,neighborhood,lat,lng,year,artist_names,students_involved,image_url,detail_url
1,Boone Avenue Walls: Family,Boone Avenue Walls,Bronx,Hunts Point,40.8368579,-73.8828182,2025,"KEL5MH, Yvette Hidalgo",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/09/boone-ave-2025-family-feature.jpeg?fit=1675%2C942&ssl=1,https://www.thrivecollective.org/portfolio/boone-avenue-walls-family/
2,Boone Avenue Walls: Don't Forget 2 Smile,Boone Avenue Walls,Bronx,Hunts Point,40.8368579,-73.8828182,2025,"Jodi Dareal, Christian Penn",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/09/boone-ave-2025-smile-feature.jpeg?fit=1920%2C1081&ssl=1,https://www.thrivecollective.org/portfolio/boone-avenue-smile/
3,Atlantic Avenue BQE Murals: North Wall,,Brooklyn,"Atlantic Avenue under the BQE, Brooklyn, NY 11201",40.6781784,-73.9441579,2025,"Marissa Molina, Christian Penn, Will Power, Vince Ballentine, Jodi Dareal, Michela ""Miki Mu"" Muserra, Peach Tao",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/06/BQE-north-wall.jpeg?fit=1920%2C887&ssl=1,https://www.thrivecollective.org/portfolio/atlantic-bqe/
4,Atlantic Avenue BQE Murals: North Wall,,Brooklyn,"Atlantic Avenue under the BQE, Brooklyn, NY 11201",40.6781784,-73.9441579,2025,"Marissa Molina, Christian Penn, Will Power, Vince Ballentine, Jodi Dareal, Michela ""Miki Mu"" Muserra, Peach Tao",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/07/restore-feature.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/atlantic-ave-restore/
5,Atlantic Avenue BQE Murals: North Wall,,Brooklyn,"Atlantic Avenue under the BQE, Brooklyn, NY 11201",40.6781784,-73.9441579,2025,"Marissa Molina, Christian Penn, Will Power, Vince Ballentine, Jodi Dareal, Michela ""Miki Mu"" Muserra, Peach Tao",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/07/recreate-feature.jpeg?fit=1920%2C1081&ssl=1,https://www.thrivecollective.org/portfolio/atlantic-ave-recreate/
6,Atlantic Avenue BQE Murals: North Wall,,Brooklyn,"Atlantic Avenue under the BQE, Brooklyn, NY 11201",40.6781784,-73.9441579,2025,"Marissa Molina, Christian Penn, Will Power, Vince Ballentine, Jodi Dareal, Michela ""Miki Mu"" Muserra, Peach Tao",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/07/biodiversity-feature.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/atlantic-ave-biodiverse/
7,Atlantic Avenue BQE Murals: North Wall,,Brooklyn,"Atlantic Avenue under the BQE, Brooklyn, NY 11201",40.6781784,-73.9441579,2025,"Marissa Molina, Christian Penn, Will Power, Vince Ballentine, Jodi Dareal, Michela ""Miki Mu"" Muserra, Peach Tao",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/07/industry-feature.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/atlantic-ave-industry/
8,Atlantic Avenue BQE Murals: North Wall,,Brooklyn,"Atlantic Avenue under the BQE, Brooklyn, NY 11201",40.6781784,-73.9441579,2025,"Marissa Molina, Christian Penn, Will Power, Vince Ballentine, Jodi Dareal, Michela ""Miki Mu"" Muserra, Peach Tao",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/07/dockworkers-feature.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/atlantic-ave-dockworkers/
9,Atlantic Avenue BQE Murals: North Wall,,Brooklyn,"Atlantic Avenue under the BQE, Brooklyn, NY 11201",40.6781784,-73.9441579,2025,"Marissa Molina, Christian Penn, Will Power, Vince Ballentine, Jodi Dareal, Michela ""Miki Mu"" Muserra, Peach Tao",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/07/reframe-feature.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/atlantic-ave-reframe/
10,PS/MS 104K: Mark of Excellence,PS 104K,Brooklyn,Bay Ridge,40.6181069,-74.0286934,2025,"Michael ""Kaves"" McCleer",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/ps104-banner.jpeg?fit=1920%2C887&ssl=1,https://www.thrivecollective.org/portfolio/mark-of-excellence/
11,Amazin' Mets Foundation: Amazin' Family,Queens Elementary School,Queens,,40.6542388,-73.9081621,2025,Peach Tao,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/07/amazin-family-feature.jpeg?fit=2000%2C2274&ssl=1,https://www.thrivecollective.org/portfolio/amazin-family/
12,PS 86Q: The Power Within,PS 86Q,Queens,Jamaica,40.7037439,-73.7991953,2025,Kristy McCarthy,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/power-banner.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/power-within/
13,PS 86Q: Learn It for Yourself,PS 86Q,Queens,Jamaica,40.7037439,-73.7991953,2025,Kristy McCarthy,"Dorothy, Cowardly Lion, Scarecrow, Tinman",https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/for-yourself-banner.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/for-yourself/
14,PS 60: Abundance,PS 60 The Alice Austin School,Staten Island,Bulls Head,40.6104977,-74.1623398,2025,Jenna Morello,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/PS60SI-banner.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/abundance/
15,IS 131 Albert Einstein School: The Beat of 131,IS 131 Albert Einstein School,Bronx,Soundview,40.8232688,-73.8602447,2025,"Pelumi Ayeni, Wale Ayeni",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/beats-banner-1.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/the-beat-of-131/
16,SVA Mural Makeover: Larger than Life,Soundview Academy for Culture and Scholarship,Bronx,Soundview,40.8232367,-73.8598551,2025,Pelumi Ayeni,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/09/sva-pelumi-2025-feature.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/sva-larger-than-life/
17,IS 131 Albert Einstein School: Knowledge is Power,IS 131 Albert Einstein School,Bronx,Soundview,40.8232688,-73.8602447,2025,"Pelumi Ayeni, Wale Ayeni",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/knowledg-banner.jpeg?fit=1920%2C1692&ssl=1,https://www.thrivecollective.org/portfolio/131-knowledge/
18,The Shoppe: Don't Forget to Smile,The Shoppe and Sneaker Room,Staten Island,Emerson Hill,40.6002913,-74.091782,2025,"Jodi Dareal, Christian Penn","Cianta, @alma_gaze, @deerezzed, @renapsable, @dragonmomi8, @lysasway",https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/09/Dont-Forget-to-Smile-Staten-banner.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/shoppe-smile/
19,Mentoring Youth for Leadership Summit: City as Playground,,Chattanooga,,35.045631,-85.309677,2025,Sam Wisneski,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/03/playground-slider.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/playground/
20,SVA Mural Makeover: Courage,Soundview Academy for Culture and Scholarship,Bronx,Soundview,40.8232367,-73.8598551,2025,Danielle Mastrion,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/embrace-banner.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/sva-explore/
21,SVA Mural Makeover: Courage,Soundview Academy for Culture and Scholarship,Bronx,Soundview,40.8232367,-73.8598551,2025,Danielle Mastrion,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/embrace-banner.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/sva-courage/
22,SVA Mural Makeover: Embrace the Future,Soundview Academy for Culture and Scholarship,Bronx,Soundview,40.8232367,-73.8598551,2025,"Danielle Mastrion, Pelumi Ayeni, Marissa Molina",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/embrace-banner.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/embrace-future/
23,Tasker Middle School: We Serve,Tasker Middle School,Prince George's County,Somerset,38.9580139,-76.7455312,2025,"Christian Penn, Ryan Mizta",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/we-serve-md-banner.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/we-serve/
